ReadingIndex,LightIntensity,Temperature,Date,Time
1,501,100,2025-02-02,13:01:18
2,266,68,2025-02-02,13:06:18
3,299,99,2025-02-02,13:11:18
4,273,73,2025-02-02,13:16:18
5,242,50,2025-02-02,13:21:17
6,262,74,2025-02-02,13:26:17
7,295,68,2025-02-02,13:31:18
8,264,43,2025-02-02,13:36:18
9,257,46,2025-02-02,13:41:18
10,307,69,2025-02-02,13:46:17
11,289,75,2025-02-02,13:51:17
12,289,82,2025-02-02,13:56:17
13,306,78,2025-02-02,14:01:18
14,257,43,2025-02-02,14:06:18
15,238,51,2025-02-02,14:11:18
16,259,61,2025-02-02,14:16:17
17,315,101,2025-02-02,14:21:17
18,298,102,2025-02-02,14:26:17
19,166,23,2025-02-02,14:31:18
20,169,18,2025-02-02,14:36:18
21,159,16,2025-02-02,14:41:18
22,180,28,2025-02-02,14:46:17
23,156,16,2025-02-02,14:51:17
24,235,91,2025-02-02,14:56:17
25,200,46,2025-02-02,15:01:18
26,268,100,2025-02-02,15:06:18
27,173,42,2025-02-02,15:11:18
28,303,102,2025-02-02,15:16:17
29,198,36,2025-02-02,15:21:17
30,204,57,2025-02-02,15:26:17
31,193,53,2025-02-02,15:31:17
32,244,97,2025-02-02,15:36:18
33,227,59,2025-02-02,15:41:18
34,269,75,2025-02-02,15:46:17
35,243,42,2025-02-02,15:51:17
36,245,42,2025-02-02,15:56:17
37,297,95,2025-02-02,16:01:17
38,230,38,2025-02-02,16:06:18
39,261,72,2025-02-02,16:11:18
40,320,103,2025-02-02,16:16:18
41,274,86,2025-02-02,16:21:17
42,243,40,2025-02-02,16:26:17
43,295,70,2025-02-02,16:31:17
44,301,73,2025-02-02,16:36:18
45,400,105,2025-02-02,16:41:18
46,292,56,2025-02-02,16:46:17
47,288,69,2025-02-02,16:51:17
48,177,16,2025-02-02,16:56:17
49,217,46,2025-02-02,17:01:17
50,217,47,2025-02-02,17:06:18
51,150,12,2025-02-02,17:11:18
52,116,0,2025-02-02,17:16:18
53,164,44,2025-02-02,17:21:17
54,178,54,2025-02-02,17:26:17
55,155,41,2025-02-02,17:31:17
56,146,42,2025-02-02,17:36:17
57,124,32,2025-02-02,17:41:18
58,82,10,2025-02-02,17:46:18
59,18,0,2025-02-02,17:51:17
60,47,3,2025-02-02,17:56:17
61,69,22,2025-02-02,18:01:17
62,145,91,2025-02-02,18:06:17
63,0,0,2025-02-02,18:11:18
64,0,0,2025-02-02,18:16:17
65,0,0,2025-02-02,18:21:17
66,0,0,2025-02-02,18:26:17
67,26,14,2025-02-02,18:31:17
68,0,0,2025-02-02,18:36:17
69,0,0,2025-02-02,18:41:18
70,37,10,2025-02-02,18:46:18
71,0,0,2025-02-02,18:51:17
72,14,10,2025-02-02,18:56:17
73,26,22,2025-02-02,19:01:17
74,0,0,2025-02-02,19:06:17
75,41,17,2025-02-02,19:11:17
76,25,1,2025-02-02,19:16:17
77,0,0,2025-02-02,19:21:17
78,32,7,2025-02-02,19:26:16
79,0,0,2025-02-02,19:31:16
80,101,71,2025-02-02,19:36:16
81,26,23,2025-02-02,19:41:16
82,11,0,2025-02-02,19:46:16
83,67,65,2025-02-02,19:51:16
84,12,0,2025-02-02,19:56:16
85,27,17,2025-02-02,20:01:16
86,24,13,2025-02-02,20:06:16
87,12,0,2025-02-02,20:11:16
88,25,14,2025-02-02,20:16:16
89,0,0,2025-02-02,20:21:15
90,16,2,2025-02-02,20:26:16
91,0,5,2025-02-02,20:31:16
92,20,12,2025-02-02,20:36:16
93,78,64,2025-02-02,20:41:16
94,45,53,2025-02-02,20:46:16
95,92,82,2025-02-02,20:51:16
96,0,0,2025-02-02,20:56:16
97,0,12,2025-02-02,21:01:16
98,6,18,2025-02-02,21:06:15
99,19,9,2025-02-02,21:11:16
100,23,12,2025-02-02,21:16:16
101,0,0,2025-02-02,21:21:16
102,33,42,2025-02-02,21:26:16
103,46,54,2025-02-02,21:31:16
104,0,0,2025-02-02,21:36:16
105,95,83,2025-02-02,21:41:16
106,0,0,2025-02-02,21:46:16
107,11,0,2025-02-02,21:51:15
108,55,58,2025-02-02,21:56:15
109,61,61,2025-02-02,22:01:16
110,67,66,2025-02-02,22:06:16
111,0,0,2025-02-02,22:11:16
112,0,0,2025-02-02,22:16:16
113,0,0,2025-02-02,22:21:16
114,6,16,2025-02-02,22:26:16
115,87,80,2025-02-02,22:31:16
116,27,17,2025-02-02,22:36:15
117,19,28,2025-02-02,22:41:15
118,0,0,2025-02-02,22:46:16
119,36,26,2025-02-02,22:51:16
120,0,0,2025-02-02,22:56:16
121,32,21,2025-02-02,23:01:16
122,0,0,2025-02-02,23:06:16
123,31,20,2025-02-02,23:11:16
124,0,0,2025-02-02,23:16:16
125,60,56,2025-02-02,23:21:15
126,10,0,2025-02-02,23:26:15
127,27,15,2025-02-02,23:31:15
128,0,0,2025-02-02,23:36:16
129,71,61,2025-02-02,23:41:16
130,114,88,2025-02-02,23:46:16
131,64,60,2025-02-02,23:51:16
132,45,46,2025-02-02,23:56:16
133,27,14,2025-02-03,00:01:16
134,0,0,2025-02-03,00:06:15
135,87,74,2025-02-03,00:11:15
136,0,0,2025-02-03,00:16:16
137,0,0,2025-02-03,00:21:16
138,80,68,2025-02-03,00:26:16
139,0,0,2025-02-03,00:31:16
140,22,10,2025-02-03,00:36:15
141,35,25,2025-02-03,00:41:15
142,16,21,2025-02-03,00:46:16
143,26,13,2025-02-03,00:51:16
144,13,0,2025-02-03,00:56:16
145,0,0,2025-02-03,01:01:16
146,13,0,2025-02-03,01:06:15
147,16,1,2025-02-03,01:11:15
148,24,12,2025-02-03,01:16:16
149,30,18,2025-02-03,01:21:16
150,17,1,2025-02-03,01:26:16
151,27,14,2025-02-03,01:31:16
152,0,0,2025-02-03,01:36:15
153,0,0,2025-02-03,01:41:15
154,38,28,2025-02-03,01:46:16
155,28,17,2025-02-03,01:51:16
156,109,86,2025-02-03,01:56:16
157,0,0,2025-02-03,02:01:15
158,31,17,2025-02-03,02:06:15
159,11,13,2025-02-03,02:11:15
160,66,60,2025-02-03,02:16:15
161,41,40,2025-02-03,02:21:16
162,114,89,2025-02-03,02:26:16
163,9,0,2025-02-03,02:31:15
164,77,64,2025-02-03,02:36:15
165,109,83,2025-02-03,02:41:15
166,21,3,2025-02-03,02:46:15
167,24,10,2025-02-03,02:51:16
168,117,89,2025-02-03,02:56:16
169,0,0,2025-02-03,03:01:15
170,21,22,2025-02-03,03:06:15
171,0,0,2025-02-03,03:11:15
172,5,7,2025-02-03,03:16:15
173,96,82,2025-02-03,03:21:16
174,5,11,2025-02-03,03:26:16
175,35,25,2025-02-03,03:31:15
176,18,9,2025-02-03,03:36:15
177,24,14,2025-02-03,03:41:15
178,21,9,2025-02-03,03:46:15
179,21,12,2025-02-03,03:51:16
180,70,76,2025-02-03,03:56:16
181,17,24,2025-02-03,04:01:15
182,0,0,2025-02-03,04:06:15
183,23,17,2025-02-03,04:11:15
184,0,0,2025-02-03,04:16:15
185,69,75,2025-02-03,04:21:16
186,15,3,2025-02-03,04:26:16
187,14,1,2025-02-03,04:31:15
188,21,11,2025-02-03,04:36:15
189,10,0,2025-02-03,04:41:15
190,16,4,2025-02-03,04:46:15
191,7,5,2025-02-03,04:51:16
192,23,16,2025-02-03,04:56:16
193,27,19,2025-02-03,05:01:15
194,53,62,2025-02-03,05:06:15
195,0,0,2025-02-03,05:11:15
196,0,0,2025-02-03,05:16:15
197,0,0,2025-02-03,05:21:15
198,2,0,2025-02-03,05:26:16
199,0,0,2025-02-03,05:31:15
200,1,0,2025-02-03,05:36:15
201,20,8,2025-02-03,05:41:15
202,56,54,2025-02-03,05:46:15
203,16,18,2025-02-03,05:51:15
204,0,0,2025-02-03,05:56:16
205,26,16,2025-02-03,06:01:15
206,0,0,2025-02-03,06:06:15
207,25,15,2025-02-03,06:11:15
208,18,21,2025-02-03,06:16:15
209,0,0,2025-02-03,06:21:15
210,45,57,2025-02-03,06:26:16
211,66,69,2025-02-03,06:31:15
212,14,0,2025-02-03,06:36:15
213,20,10,2025-02-03,06:41:15
214,18,7,2025-02-03,06:46:15
215,6,4,2025-02-03,06:51:15
216,22,13,2025-02-03,06:56:15
217,23,9,2025-02-03,07:01:15
218,23,0,2025-02-03,07:06:15
219,19,0,2025-02-03,07:11:15
220,81,73,2025-02-03,07:16:15
221,57,16,2025-02-03,07:21:15
222,71,19,2025-02-03,07:26:14
223,129,42,2025-02-03,07:31:15
224,204,99,2025-02-03,07:36:15
225,227,99,2025-02-03,07:41:15
226,251,99,2025-02-03,07:46:15
227,234,75,2025-02-03,07:51:15
228,227,67,2025-02-03,07:56:15
229,289,101,2025-02-03,08:01:15
230,265,71,2025-02-03,08:06:15
231,270,62,2025-02-03,08:11:15
232,343,103,2025-02-03,08:16:15
233,282,79,2025-02-03,08:21:15
234,308,102,2025-02-03,08:26:14
235,314,82,2025-02-03,08:31:15
236,294,68,2025-02-03,08:36:15
237,402,101,2025-02-03,08:41:15
238,367,102,2025-02-03,08:46:15
239,355,104,2025-02-03,08:51:15
240,292,71,2025-02-03,08:56:14
241,420,106,2025-02-03,09:01:15
242,383,99,2025-02-03,09:06:15
243,416,99,2025-02-03,09:11:15
244,462,106,2025-02-03,09:16:15
245,407,96,2025-02-03,09:21:15
246,413,99,2025-02-03,09:26:14
247,401,98,2025-02-03,09:31:15
248,424,103,2025-02-03,09:36:15
249,395,97,2025-02-03,09:41:15
250,397,84,2025-02-03,09:46:15
251,478,106,2025-02-03,09:51:15
252,455,106,2025-02-03,09:56:14
253,417,97,2025-02-03,10:01:14
254,421,98,2025-02-03,10:06:15
255,303,69,2025-02-03,10:11:15
256,427,101,2025-02-03,10:16:15
257,475,106,2025-02-03,10:21:15
258,430,104,2025-02-03,10:26:15
259,385,80,2025-02-03,10:31:14
260,390,80,2025-02-03,10:36:15
261,398,82,2025-02-03,10:41:15
262,382,93,2025-02-03,10:46:15
263,488,106,2025-02-03,10:51:14
264,430,103,2025-02-03,10:56:14
265,401,102,2025-02-03,11:01:15
266,364,98,2025-02-03,11:06:15
267,442,105,2025-02-03,11:11:15
268,455,104,2025-02-03,11:16:15
269,363,95,2025-02-03,11:21:14
270,360,89,2025-02-03,11:26:14
271,432,101,2025-02-03,11:31:15
272,392,92,2025-02-03,11:36:15
273,412,92,2025-02-03,11:41:15
274,455,103,2025-02-03,11:46:15
275,421,100,2025-02-03,11:51:14
276,438,102,2025-02-03,11:56:14
277,450,103,2025-02-03,12:01:15
278,456,103,2025-02-03,12:06:15
279,438,101,2025-02-03,12:11:15
280,404,99,2025-02-03,12:16:15
281,472,103,2025-02-03,12:21:14
282,434,103,2025-02-03,12:26:14
283,317,69,2025-02-03,12:31:15
284,383,96,2025-02-03,12:36:15
285,399,90,2025-02-03,12:41:15
286,479,102,2025-02-03,12:46:15
287,481,105,2025-02-03,12:51:14
288,375,81,2025-02-03,12:56:14
289,466,103,2025-02-03,13:01:15
