ReadingIndex,LightIntensity,Temperature,Date,Time
1,69,0,2025-02-15,10:52:00
2,71,15,2025-02-15,10:57:02
3,73,0,2025-02-15,11:02:04
4,73,83,2025-02-15,11:07:07
5,70,79,2025-02-15,11:12:09
6,64,30,2025-02-15,11:17:11
7,74,27,2025-02-15,11:22:14
8,75,75,2025-02-15,11:27:17
9,75,0,2025-02-15,11:32:19
10,72,0,2025-02-15,11:37:21
11,72,0,2025-02-15,11:42:24
12,73,81,2025-02-15,11:47:26
13,73,12,2025-02-15,11:52:29
14,74,0,2025-02-15,11:57:31
15,73,8,2025-02-15,12:02:33
16,71,0,2025-02-15,12:07:35
17,72,79,2025-02-15,12:12:38
18,65,0,2025-02-15,12:17:40
19,71,75,2025-02-15,12:22:43
20,72,0,2025-02-15,12:27:46
21,50,0,2025-02-15,12:32:48
22,72,66,2025-02-15,12:37:50
23,60,28,2025-02-15,12:42:53
24,63,0,2025-02-15,12:47:55
25,61,71,2025-02-15,12:52:58
26,60,0,2025-02-15,12:58:00
27,55,2,2025-02-15,13:03:02
28,59,0,2025-02-15,13:08:05
29,39,75,2025-02-15,13:13:07
30,48,76,2025-02-15,13:18:10
31,49,77,2025-02-15,13:23:12
32,45,8,2025-02-15,13:28:15
33,46,77,2025-02-15,13:33:17
34,45,0,2025-02-15,13:38:19
35,64,5,2025-02-15,13:43:22
36,61,73,2025-02-15,13:48:24
37,59,81,2025-02-15,13:53:27
38,58,0,2025-02-15,13:58:29
39,57,0,2025-02-15,14:03:31
40,56,0,2025-02-15,14:08:34
41,56,0,2025-02-15,14:13:36
42,56,0,2025-02-15,14:18:38
43,55,0,2025-02-15,14:23:41
44,54,0,2025-02-15,14:28:43
45,54,0,2025-02-15,14:33:46
46,53,0,2025-02-15,14:38:48
47,51,78,2025-02-15,14:43:51
48,50,0,2025-02-15,14:48:54
49,49,0,2025-02-15,14:53:55
50,49,0,2025-02-15,14:58:58
51,46,0,2025-02-15,15:04:00
52,46,70,2025-02-15,15:09:03
53,43,0,2025-02-15,15:14:05
54,44,78,2025-02-15,15:19:08
55,42,61,2025-02-15,15:24:10
56,42,0,2025-02-15,15:29:13
57,40,58,2025-02-15,15:34:15
58,40,76,2025-02-15,15:39:18
59,38,0,2025-02-15,15:44:20
60,37,0,2025-02-15,15:49:23
61,41,0,2025-02-15,15:54:24
62,38,0,2025-02-15,15:59:27
63,36,0,2025-02-15,16:04:29
64,35,0,2025-02-15,16:09:32
65,36,70,2025-02-15,16:14:34
66,29,0,2025-02-15,16:19:37
67,32,0,2025-02-15,16:24:39
68,30,66,2025-02-15,16:29:42
69,27,76,2025-02-15,16:34:44
70,28,0,2025-02-15,16:39:46
71,29,0,2025-02-15,16:44:48
72,28,0,2025-02-15,16:49:51
73,26,0,2025-02-15,16:54:54
74,26,0,2025-02-15,16:59:56
75,24,42,2025-02-15,17:04:58
76,22,22,2025-02-15,17:10:01
77,22,0,2025-02-15,17:15:03
78,22,0,2025-02-15,17:20:06
79,20,74,2025-02-15,17:25:08
80,16,74,2025-02-15,17:30:10
81,13,0,2025-02-15,17:35:13
82,11,0,2025-02-15,17:40:15
83,7,0,2025-02-15,17:45:18
84,5,0,2025-02-15,17:50:20
85,3,0,2025-02-15,17:55:22
86,3,0,2025-02-15,18:00:25
87,5,41,2025-02-15,18:05:27
88,2,0,2025-02-15,18:10:30
89,1,66,2025-02-15,18:15:32
90,1,0,2025-02-15,18:20:35
91,0,0,2025-02-15,18:25:37
92,0,0,2025-02-15,18:30:39
93,0,71,2025-02-15,18:35:41
94,0,20,2025-02-15,18:40:44
95,0,0,2025-02-15,18:45:47
96,0,68,2025-02-15,18:50:49
97,0,0,2025-02-15,18:55:51
98,0,0,2025-02-15,19:00:53
99,0,13,2025-02-15,19:05:56
100,0,70,2025-02-15,19:10:58
101,0,6,2025-02-15,19:16:01
102,0,0,2025-02-15,19:21:03
103,0,3,2025-02-15,19:26:05
104,0,43,2025-02-15,19:31:08
105,0,0,2025-02-15,19:36:10
106,0,0,2025-02-15,19:41:11
107,0,71,2025-02-15,19:46:14
108,0,0,2025-02-15,19:51:16
109,0,70,2025-02-15,19:56:19
110,0,43,2025-02-15,20:01:21
111,0,0,2025-02-15,20:06:23
112,0,0,2025-02-15,20:11:26
113,0,0,2025-02-15,20:16:28
114,0,0,2025-02-15,20:21:31
115,0,71,2025-02-15,20:26:33
116,0,0,2025-02-15,20:31:36
117,0,0,2025-02-15,20:36:38
